date,total,out_of_region,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2019-12-01,5551,,646,288,359,300,9,448,361,671,311,871,436,361,240
2022-09-17,8756,343,1174,437,504,412,9,673,565,1050,430,1307,736,519,412
2024-10-03,9885,346,1356,482,555,466,12,767,597,1197,464,1538,877,559,470
2024-12-19,9775,346,1373,482,574,479,16,770,598,1200,465,1554,886,562,470
